<<<<<<< HEAD
"","Population","Child_Population_percentage","Elderly_Population_percentage","White_Population_percentage","Hispanic_Latinx_percentage","African_American_percentage","American_Indian_percentage","Reading_Proficiency_percentage","Uninsured_Adults_percentage","Medicaid_CHIP_enrolles_percentage","Primary_Care_Physicians","Low_Birthweight_percentage","Infant_Mortality_Rate","Poverty_percentage","Air_Pollution"
"NC",10488084,21.9,16.7,70.6,9.8,22.2,1.6,56.8,15.5,25,"8",9.1,"7",13.6,"9.8"
"Beaufort",17557,14.7,22.9,88.5,5.1,4.7,0.6,62,21.1,21.8,"5",11.3,"5.7",16.4,"8.5"
"Bladen",18947,17.4,23.6,34.7,2.4,61.1,0.7,69.9,15.2,35.8,"3.6",13.3,"12.6",24.2,"9.1"
"Duplin",42846,20.9,21.7,83.9,7.3,6.5,0.7,57.1,15.5,20,"3.5",8.6,"5.6",10.9,"10.4"
"Durham",58741,23.8,19.4,51,23,25.5,1.4,51.6,25.7,31.6,"2.2",8.7,"9.1",17.7,"9.9"
"Granville",8441,19.8,24.5,86.1,3.7,0.5,7.9,49.4,22.2,34.1,"4.6",8.6,"2.4",16.8,"8.4"
"Greene",60443,20.5,17.7,557.8,8.5,31.9,0.9,51.9,15,22.8,"6",9.7,"6.5",14.6,"10.5"
"Martin",21755,17.5,23.1,93.9,2.4,1.5,0.5,74.3,14.7,26.8,"4.9",8.6,"4.0",14.6,"8.8"
"Sampson",67029,20.3,22.2,82.8,4.8,9.9,0.4,61.8,17.1,29.4,"4.2",8.9,"6.5",18.5,"10.1"
"Robeson",44829,23,18.3,56.5,6.8,31.9,3.3,43.5,17.1,42.8,"3.8",12,"10.1",25.8,"10.2"
"Wayne",56177,12.7,16.4,91.4,4,1.9,0.4,24.6,14.4,10.5,"5.9",8.4,"9.5",21.4,"8.3"
"Wilson",68412,20.1,22.2,86.7,6.9,4.7,0.4,62.2,18.8,27.9,"5",9.7,"7.9",15.2,"9.6"
=======
"","Population","Child_Population_percentage","Elderly_Population_percentage","White_Population_percentage","Hispanic_Latinx_percentage","African_American_percentage","American_Indian_percentage","Reading_Proficiency_percentage","Uninsured_Adults_percentage","Medicaid_CHIP_enrolles_percentage","Primary_Care_Physicians","Low_Birthweight_percentage","Infant_Mortality_Rate","Cancer_Incidence","Heart_Disease","Poverty_percentage","Air_Pollution"
"NC",10488084,21.9,16.7,70.6,9.8,22.2,1.6,56.8,15.5,25,"8",9.1,"7","469.2","158.0",13.6,"9.8"
"Beaufort",46994,19.8,28,65.9,8,24.8,1,46.1,15.7,29.9,"3.8",10.7,"10.3","413.8","179.5",17.6,"9.2"
"Bladen",32722,20.3,22.8,54.9,7.8,34,3.1,51,21.7,35,"3.5",10.9,"8.7","424.8","240.9",21.2,"10"
"Duplin",58741,23.8,19.4,51,23,25.5,1.4,51.6,25.7,31.6,"2.2",8.7,"9.1","407.9","163.9",17.7,"9.9"
"Durham",321488,20.4,13.6,43,13.7,36.9,0.9,39.2,15.1,21.9,"12.6",8.8,"6.1","460.3","128.6",14,"10.6"
"Greene",21069,19.9,17,46.6,15.7,36.8,2.2,39.9,23.8,29.3,"4.8",10.8,"9.6","430.5","176.6",20.2,"10.4"
"Martin",22440,20.2,23.9,52.3,4.1,42.1,0.6,52.1,14.3,33.2,"5.6",9.2,"10.7","478.5","211.6",20.6,"8.9"
"Sampson",63531,24.3,18.3,50.3,20.6,26.6,3.7,56.4,24,35.2,"4.7",9,"6.2","472.5","183.5",16.8,"10.7"
"Robeson",130625,24.7,15.7,24.7,9.2,23.6,42.3,43.5,23.8,45.1,"4.4",12.2,"10.3","421.4","215.6",31.5,"10.1"
"Warren",19731,17.9,26.2,38.2,3.9,51.4,5.7,67,19.7,30.8,"0.5",11.4,"5.9","468.1","194.6",21.7,"9.7"
"Wayne",123131,23.6,16.9,52.7,12.4,32.4,0.9,56.8,18.9,32.6,"5.6",8.8,"8","493.3","183.3",18.6,"10.7"
"Wilson",81801,22.7,18.7,46.8,10.8,40.5,0.6,53.2,18.3,33.7,"6.1",11.3,"11","418.6","169.0",21.5,"10.7"
>>>>>>> 323245f428ddc910e4b71737507f938b3d216a6b
